id,narrative_fante
98,"Me pa wo kyew, biribi a ɛyɛ den paa na ɛsii ha, na mehia mmoa ntɛm ara. Me din de Memunatu, na merefrɛ wo ho asɛm bi fa abofra baako ho — wɔfrɛ no Nii Kwei. Ɔtuu nsu mu fa Kete Krachi kwan ho, baabi a ɛbɛn Dambai hɔ. Ɔkɔɔ ase wɔ nsu mu, na bere a yɛtɔɔ no firi mu no, ɔannyɛ hwee koraa — ɔannye so. Ɔkɔn ne tiri no hyɛ yɛn suro paa — ɛte sɛ biribi nyɛ yɛ wɔ hɔ. Abofra no yɛ ketewa paa, na ɔkeka ho yɛ den pa ara seesei — yɛsuro yiye. Me pa wo kyew, soma onipa bi ntɛm ara, efisɛ yɛnnim deɛ yɛbɛyɛ no ama no ha."
99,"Me pa wo kyew, mepɛ sɛ meka biribi a ɛsii ɔbarima ketewa bi ho wɔ Oforikrom ha. Me din de Kwame, na abusuabarima no din de Appiah — ɔyɛ me nkoa ba, ɔwɔ nkyɛn ara. Ɔreyi adwuma wɔ construction site bi a ɛbɛn ha no, na biribi tuu fam bɔɔ no tiri so, na ɔtuu fam. Ɔnhunu hwee deɛ, nanso ɔwɔ confused paa, na ne kɔn yɛ no yaw den ara — enti yɛn ho suro no paa. Yɛhwehwɛ obi a ɔbɛba boa yen, efisɛ injury no ho nhwɛ sɛ kɛkɛ koraa da."
100,"Me pa wo kyew, biribi tuntum paa aba asi na mehia mmoa ntɛm paa. Me din de Nii Laryea, na merɛfrɛ wo fa onipadua bi a wɔfrɛ no Adjei ho. Adjei no na ɔreyɛ adwuma wɔ ɔkwan so wɔ Takoradi-Cape Coast highway no ho, Anomabo nkyɛn. Ɔna ɔreyɛ construction work wɔ hɔ na equipment tuntum bi atuu kohwe ne nan so — ɛyɛ bɔne paa, ne nan no ayɛ crush den paa na mogya retu no bebree. Yɛabobɔ nea yeahyɛ ho yi ho sɛ yɛbɛgyae mogya no tu, nanso ɛyɛ no yaw paa na yɛsuro paa ne ho. Me pa wo kyew, moma mmoa aba ntɛm paa wɔ ɔkwan no so Anomabo nkyɛn no."
101,"Me pa wo kyew, mepɛ sɛ mekaa accident bi a ɛsi. Me din de Nii Armah, na merefrɛ wɔ mu fa me adamfo Abena ho — ɔkɔbaa accident mu wɔ Accra-Cape Coast kwan so, Winneba nkyɛn hɔ. Kar bi bɔɔ trotro a ɔtete mu no, na ɔbuae ne tiri bɔɔ chair a ɛwɔ n'anim no so, na ne kɔn yɛ no yaw kakra. Ɔte hɔ na ɔrekasa, nanso yɛsuro efisɛ ɔka daa sɛ ne kɔn mu ye denden. Yɛwɔ ne ho afei na ɔhia onipa bi a obɛhwɛ no yiye."
102,"Me pa wo kyew, biribi baa sɛ yi akyiri yi Bawku road so, Zebilla ho. Ababaawa bi, Araba, tipper truck bi bɔɔ no bere a ɔrewɔ ɔkwan ho. Ɔtuu fam na ɔbuaa ne tiri wɔ fam, nanso ɔte hɔ na ɔrekasa, na cuts kakra bi wom, na ɔkeka sɛ ne kɔn yɛ no yaw. Mene Patience — ɔhɔho bi a nahwe deɛ esii. Me pa wo kyew, yehia obi mmra nhwɛ no, efisɛ ɔyɛ abofra na yennpɛ sɛ asɛm bi baa no so. Frɛ oduruyɛfo bi mmra!"
103,"Me pa wo kyew, biribi asi wɔ Ho-Accra ɔkwan so, Adidome baabi ara ho. Me nuabarima, Nii Kwei, ɔtuu fam — mete sɛ ɔwɔ kar bi so anaasɛ hwee, na ɔnyɛɛ ne ho yiye na ɔbuee ase den ara. Ɔbɔɔ ne tiri ne ne kɔn baabi wɔ fam, na sɛ meduui ne ho a, ɔhunuu hɔ, nanso ɔwɔ confused paa — na ɔrekyekyere ne kɔn, na ɔreka sɛ eye no yaw paa. Ɔyɛ abofra, afeha baako mpɛn edu nson anaasɛ saa ara. Me, Agyeman, na mewɔ ne ho nnɛ yi, me pa wo kyew, yehia obi aba ɔkwan yi so, efisɛ mempɛ sɛ me sɔ no kɔ baabi paa, sɛ anka anka no a, enye."
104,"Me pa wo kyew, mepɛ sɛ meka accident bi a ɛsii ha wɔ Yendi Senior High School. Me din de Issah, na yɛn students mu baako, Dela, pragyia bi hyɛɛ no wɔ school entrance no ho, sɛ ɔregyina so baa mu saa anɔpa yi. Ɔyɛ abofra kumaa bi, na nʼnan yɛ no yaw, nanso ɔhunu nʼadwene na mogya retu no koraa saa. Yɛama no tena ase, na obi gyina nʼakyi seesei."
105,"Me pa wo kyew, me din de Appiah, mefrɛ wo firi Winneba Senior High School. Yɛn mmabea baako, Naa Dedei, ɔhwee fam wɔ staircase a ɛwɔ dormitory block ho no so, na ɔtuu fam, na ɔbɔɔ ne tiri wɔ step no ho. Ɔte hɔ na ɔrekasa, nanso ɔde ne nsa so ne kɔn na ɔse ɛyɛ no yaw kakra. Ennyɛ sɛ ɛyɛ den paa, nanso yɛpɛ sɛ yɛhunu ade nyinaa yɛ okay."
106,"""Me pa wo kyew, merefrɛ wo fa biribi a eye hu paa a aba ha wɔ Ho Senior High School. Me din de Yakubu, meyɛ ɔkyerɛkyerɛfo baako wɔ sukuu no mu. Yɛn sukuu no ɔhyɛnam, Elinam — ɔyɛ opanyin — ɔrekɔ twa compound no mu bɛn dining hall no ho, na sukuu bus no sane n'akyi ntɛm paa ma ɛbɔɔ no. Ɔtuu fam ma ne tiri bɔɔ fam den paa, na ne kɔn nso eye hu. Ɔrehome, nanso sɛ yɛfrɛ ne din a, ɔnnye so yiye. Na mogya retu firi ne tiri mu. Me pa wo kyew, yɛhia mmoa mmra ntɛm paa — ɔyɛ opanyin na situation no eye hu paa."""
107,"Me pa wo kyew, merefrɛ fa ɔbaa ketewa bi ho — waka no okada bi ɛberɛ a ɔrɛkɔ sɛ ɔbɛtwam ɔkwan no, wɔ UPSA campus gate no ho ha wɔ Accra. Me din de Amoah — meyɛ lecturer wɔ ha, na Yaa yɛ yɛn student baako wɔ first year mu. Ɔrɛkɔ sɛ ɔbɛtwam ɔkwan no nsɛm lectures wie akyi no na okada rider no bɔɔ no — ɔtuu fam na ɔbuiɛ ne tiri wɔ fam no so. Nanso ɔho yɛ no — ɔte ase na ɔrekan asɛm. Nso ne kɔn yɛ no den kakra, na wɔataataa ne tiri so kakra — nanso ɛnyɛ yaw paa sɛ yɛhunu."
108,"Me pa wo kyew, mepɛ sɛ meba so ka bɔne bi a asi ha wɔ Cape Coast University — ɔbarima bi a yɛfrɛ no Sulemana, ɔhwehwee sɛ ɔbɛbɔw wɔ swimming pool no mu ɛda ndwumadi swim bi so wɔ ɛda yi awiabere. Ɔkɔɔ mu ne ne nnipa bi, nanso ɔstraggle kɛse na ɔkɔ ase kakra ansa na wɔtwe no firi mu. Kweku na ɔde no kɔɔ pool no ho, enti ɔna ɔfrɛɛ me sɛ meba so ka adanse yi. Sulemana, ɔte aware sɛ mprempren — nanso ɔka sɛ ne nsa yɛ no yaw, ebi wɔ fam a wɔte ne nsa twe no firi pool no mu no. Ɛnyɛ kɛse kɛse, nanso yɛdwen sɛ ɛsɛ sɛ oduruyɛfo bi ba hɔ na wahwɛ no."
109,"Me din de Amankwah, meyɛ student wɔ Koforidua Technical University. Enti ɛnnɛ yɛn practical session wɔ workshop no mu, me classmate baako, Emefa, ɔreyɛ adwuma wɔ grinding machine so, na ɛhɔ na metal kakra bi pue firii ho bɔɔ no tiri nfa so. Ɔda hɔ a ohunu hwee na ɔrekasa, nanso tiri nfa no mu huu no, na ɔse ne kɔn yɛ den na eye no yaw. Enye sɛ ɔkolapuse anaa biribi kɛse pɛ, nanso yɛn ho yɛ hu ɛfiri sɛ swelling no renya kɛse a renya kɛse, na ɔse ne ti retan no."
110,"Me pa wo kyew, merefrɛ wo fa me nua Nii Armah ho — biribi baa ne so nnɛ awiabere yi ha T.I. Amass wɔ Kumasi. Yɛwɔ science lab mu yɛ practical na Bunsen burner baako mu flare up baa ne nsa so. Ɛnyɛ dɛɛp papa — ɛfa ne nsa ase fam pɛ, na ne nhoma yɛ kɔkɔɔ, na ɔreka sɛ ɛyɛ ne yaw. Me din de Selorm, meyɛ ne labmate — mepɛ sɛ menhunu nea yɛbɛyɛ ama no ɛnɛ seisei ansa na yɛde no kɔ clinic."
111,"Me pa wo kyew, merefrɛ wo fii Kumasi Academy. Me din de Wiredu. Biribi baa mu wɔ break time mu — yɛn nkurɔfoɔ mmienu no wɔ bicycles so wɔ sports block nkyɛn, na wɔn mmienu no hyiaa wɔ kwan mu sɛ worebɛdwane afiri wɔn honam mu, na Afia tuu fam na ɔkɔbuaa ne nsa so yiye. Ɔho yɛ, ɔteɛ ase na ɔreka, nanso ne nsa no ahoboaa, na sɛ ɔbɛsɔ kari ɔkwan biara a, ɛyɛ no yaw. Yɛnsusu sɛ fracture ne, nanso yɛpɛ sɛ oduruyɛfoɔ bi bɛba na wɔbɛhwɛ no."
112,"Me pa wo kyew, me din de Issah, mefrɛ wo firi Adisadel College ha Cape Coast. Alhassan resan aba firi kurom wɔ dropping taxi mu, na kar bi bɔɔ taxi no ho bebi fa school gate no ho — ɔtuu fam, nanso ne ho yɛ, scrapes kakra ne bruise bi wɔ ne nan so. Ɔtena ase seesei na ɔtumi yi ne nan, enti yennwene sɛ fracture bi wom anaa biribi saa kɛse bi te saa. Yehia sɛ yɛhwɛ no yiye papa, efisɛ ɔsesa kakra saa da ha."
113,"Me pa wo kyew, mepɛ sɛ meka biribi a ɛyɛ den paa a ɛsii ha wɔ Tamale Senior High School. Me din de Nii Kwei, meyɛ okyerɛkyerɛni baako wɔ ha. Yɛn adwumayɛfo panyin baako wɔ kitchen — Yaa — ɔnam kɔɔ dining hall nkyɛn no, na canteen delivery truck no danee n'akyi a ɔkaa no, na ɔnyee ne ho aware biara. Ne nan no hyɛ no yaw paa — ɛdan akyi na mogya retu ho paa. Ɔte ne ho na ɔsu na ɔwosowoso, na ɔntumi mfa ne nan no kɔ faako biara koraa. Me pa wo kyew, yɛhia mmoa — mma ha ntɛm paa, efisɛ ɔyɛ opanyin na ne nan no yɛ den paa."
114,"Me din de Naa. Merefrɛ mo firi Tamale Technical University. Me friend Abenaa — ɔyɛ student wɔ ha — ɔrekɔ sɛ ɔbɛkɔ abɔ car park a ɛwɔ engineering block ho no, na campus bus bi baa nkyɛn no de gyee no so bere a ɛreda dan no. Ɔtuu fam, na ne tiri bɔɔ fam. Na wɔayi kra cut kakra wɔ ne tiri so, na ne kɔn yɛ no yaw, nanso ɔni nkwa — ɔreكام ɔreka asɛm. Yɛpɛ sɛ yɛhunu sɛ ɛsɛ sɛ yɛde no kɔ hospital na wɔnhwɛ no yiye anaa?"
115,"""Me pa wo kyew, merefrɛ sɛ merekyerɛ adeɛ a ɛsii ha wɔ Navrongo Senior High School. Me din de Abenaa, meyɛ teacher. Yɛn school maintenance pickup no retwɛ kɔ workshop no, na ɛbɔɔ yɛn PE teacher baako, Fuseini, sɛ ɔretwɛ kɔ. Ɔho yɛ — ɔnhunu hwee — nanso ɔnan yɛ no yaw, na bruise bi wɔ hɔ. Ɔtɛ ase seesei, nanso yɛpɛ sɛ obi ba hɔ na wahwɛ no, efisɛ ɔkyerɛ sɛ yaw no nkɔ ase."""
116,"Me din de Kwabena, meyɛ student wɔ Opoku Ware School wɔ Kumasi. Ɛnnɛ awia yi, yɛwɔ home economics practical mu, na ɔbarimaa bi wɔ me class mu — Baffour — ne ho kaa pot hye bi a wɔayi fi stove so no ho, na ogya hyehyeɛ no kaa ne kyinni hyɛɛ no yafunu ho. Ɛnyɛ kɛse papa — n'ahosɛm no yɛ bɔne kakra, na ne body no yɛ sɔre na ɛte se enye yiye kakra, nanso ɔresu na yɛn nyinaa worried. Teacher no sɛɛ me sɛ memmɛ report yiye seesei ara."
117,"Me din de Alhassan. Merefrɛ wo fa abofra bi ho — ne din de Nii. Kar bɔɔ no wɔ Achimota Senior High School no anim aha Accra. Ɔreyɛ adwuma akɔ bra ɔkwan so wɔ sukuu set akyi no, na kar bi bɔɔ no yiye yiye — ne tiri bɔɔ fam na ɔnnyinagyinaa ntem biara. Ne kɔn nso yɛ hu — yɛnsuro sɛ yɛbɛyi no, yɛnsuro sɛ yɛbɛkata no. Ɛyɛ serious paa. Me pa wo kyew, mmoa no ntɛm — ɔhia mmoa ntɛm ara!"
118,"Me din de Naa Shormeh, merefrɛ wo fa me adamfo Naa Akorkor ho, wahu accident wɔ ha wɔ Bolgatanga Senior High School. Ɔresiw fam stairs no so fi dormitory block no opim so na ɔyɛɛ step faako so fɔ na ɔtuu fam, na ɔkɔhwe fam den wɔ ne nkyɛn ne ne akyi. Ɔte hɔ na ɔtumi kasa nanso ɔreka sɛ ɛyɛ no yaw paa wɔ ne mba ho na ɔntumi nhome yiye. Yɛde no tenaa ɔfam sɛ ɔpɛn ne ho guan no guank no na yɛannpɛ sɛ yɛsesa no pii efisɛ saa bere a yɛde yɛn nsa bɔ saa beae no saa ara no, ɔkyinkyini na ɛyɛ no yaw."
119,"Me pa wo kyew, merefrɛ efisɛ biribi den bi asi ha Mfantsipim School, Cape Coast — me din de Mensah, meyɛ house prefect. Senior boys bi hyiaeɛ na wɔbubuiɛ yiye wɔ dormitory mu, na wɔbubuiɛ Nii Kwei yiye paa — na ɛyɛ ne yafunu ne ne sɛn ho na ɛyɛ den. Ɔrehome, nanso ɔkurukuruwa hɔ na ɛyɛ no yaw yiye anytime obi bɛbɔ ne ho. Yɛnnim sɛ biribi broke wo mu anaa, nanso ɛnyɛ yiye koraa — ne ho nhyɛ yɛn nkotokuro."
120,"""Me pa wo kyew, mefrɛ fie firi KNUST campus wɔ Kumasi — me din de Owusu, mewɔ hall football team mu. Yen na yɛrebɔ training anwummere a Kwabena kɔɔ hard tackle mu, na ɔtuu fam yiye wɔ ne kotodwe so. Seesei kotodwe no afuru papaapa na ɔntumi nyi ne nan so koraa. Ɔtete pitch no ho, yɛde no firi grass no so. Ɛnhwɛ sɛ fracture ne, nanso afurwa no reyɛ kɛse ara na ɔka sɛ yaw no yɛ den paa. Me pa wo kyew, obi bɛtumi abɛhwɛ no yiye?"""
121,"Me pa wo kyew, biribi asi wɔ yɛn dormitory ha wɔ Wesley Girls na mepɛ sɛ mebɔ report. Me din de Dzifa, mɛwɔ house koro pɛ no mu. Yɛn afanaa mmienu hyiaa wɔ yɛn mu — ɛfiri boy bi fi Mfantsipim a wɔn mmienu pɛ no ho, na ɛkɔɔ physical wɔ corridor mu. Afanaa fofor no buaa Efua wɔ ne tiri nkyɛn wɔ water bottle so na ɔtuu fam kɔkyeaa ɛpono no so. Ɔhun hunu, nanso ne kɔn yɛ den na ɔreka sɛ ne tiri rebo no yaw paa. Yɛasoma afanaa fofor no akɔ, nanso Efua ho nyɛ koraa — ɔhia onipa bi aba hwɛ no."
122,"Me pa wo kyew, biribi kɛse paa na asi ha Prempeh College ha Kumasi — me din de Asante, ɔstudenni ni. Me dɔfo Kojo na ɔreyɛ sɛ ɔbɛforo ɔpɔn a ɛwɔ akyire no so wɔ anadwo no mu sɛ ɔrekɔ town, na ɔtuu fam fɛɛ fɛɛ na ne nan so na ɔkɔhyɛɛ yiye ara — ɛnyɛ. Ne nan no ahyɛ mu kɛkɛ a anka ɛnnyɛ saa, na ɔsu su na ɔntumi nnye no sɛn koraa — mogya bi nso retu. Yɛn suro sɛ yɛbɛyi no mu efisɛ ne nan no yɛ fracture paa. Me pa wo kyew, obi mmra ha ntɛm ntɛm."
123,"Me pa wo kyew, mepɛ sɛ meka nsɛm bi a ɛsii wɔ hall bi mu ha wɔ University of Ghana, Legon. Me din de Nii Armah, meyɛ final year student. Senior students bi wɔ reyi Ibrahim — fresher bi — kɔ mu, na ɛkɔɔ den paa. Wɔrekeka no wɔ ne yafunu ne ne bruwa so daa daa, na afei ɔbɔɔ ne ho kɔɔ ase na ɔntumi agyina tẽ, na ɔsɛ sɛ eye no yaw bere a ɔpɛ sɛ ɔhome. Medu hɔ koree na mesee maa ɛgyae, nanso abofra no hia sɛ oduruyɛfo bi nhwɛ no. Ɛbɛyɛ sɛ biribi wɔ mu a ennyɛ pɛ."
124,"""Me pa wo kyew, me roommate Serwa kolapuse ha wɔ yɛn room mu wɔ Ashesi University. Ɔtuu fam na ɔbuaa ne tiri nifa so wɔ desk no ano bere a ɔkolapuse no — ɔnyane ansa, nanso ne tiri nni hɔ yiye na ne kɔn eye no yaw. Ɔrebɛyɛ nʼadwuma wɔ ne exams ho — wanidi na wannhome yiye days mmienu ni. Mese ɛno na ɛma ɛbaa saa. Ne tiri so cut no ketewa — mogya retu no kakra kakra. Me din de Nhyira, meyɛ ne roommate — me pa wo kyew, obi bɛba na wahwɛ no?"""
125,"Me pa wo kyew, merefrɛ wo fii GSTS ha wɔ Takoradi — me din de Fuseini. Ɛnnɛ awiabere no, yɛwɔ wɔ yɛn catering practical mu, na Selorm reyi pot a ɛwɔ ngo puo wɔ mu no, na ɔhwee fam na ngo no tuu agu no forearm so. Ɔwɔ skin a ɛreblister yiye yiye, na ɛyɛ no yaw paa — ɔresu, nanso ɔte nkwa na ɔrekan nsɛm. Ɔkyerɛkyerɛfo no wɔ ne ho, na ɔmaa me kɔ frɛ mo. Me pa wo kyew, yɛhwehwɛ sɛ moaka kyerɛ yɛn adeɛ yɛnyɛ ama no seisei ara, bere a yɛrede no kɔ clinic no mu no."
